Name,type,ratings,latitude,longitude,place_id
Peluquería Freak,hair_care,0,-31.4516799,-60.9345425,ChIJCfWunqoTtZURGoT035CsimY
Prevencion Salud Esperanza - Grupo Nasimbera,,0,-31.448997,-60.933355,ChIJ34K9yDYTtZURjkwoj2HVqvE
Estudio Esperanza,,1,-31.4492236,-60.9331788,ChIJxf0KqT0TtZURgrZUg2nhgro
La Casa del Pintor | Pinturerías Mercurio,home_goods_store,0,-31.451257,-60.9321158,ChIJJw8OnKITtZURhaBtWNs1_w0
Pinturerias Mercurio,home_goods_store,23,-31.4511579,-60.9322771,ChIJHUDA7hgTtZURYr11396CoX4
Loteria De Santa Fe,,0,-31.4508737,-60.9321199,ChIJX3ByRz0TtZUR4yHhc5dEX6g
Hotel castellon,lodging,1,-31.4493527,-60.9324334,ChIJDYoidCsTtZUR3vGtZjVHIPM
AMUR Esperanza,hospital,0,-31.447511,-60.932024,ChIJ98kt6j0TtZURPrGuvGNdAuA
Centros Empleados de Comercio de Esperanza,,2,-31.4485067,-60.9324271,ChIJX6FdV_0RtZUR9YSNckWUnes
Turismo 75,,0,-31.4485348,-60.9322382,ChIJg-6xoj0TtZUR9Ul0CZvcyfU
Fundacion Las Colonias,,1,-31.447766,-60.9318334,ChIJX7Cr7D0TtZURG2vtFWCtjFQ
Soc. Rural de Las Colonias,,22,-31.4477688,-60.9318201,ChIJX7Cr7D0TtZURCQ_gWEZ_Tqk
Pluspagos Santa Fe Servicios,,0,-31.4488889,-60.9313434,ChIJRYvIDkYTtZURZnaQ7QkgUnk
Consultorio Dental,doctor,0,-31.4472904,-60.9318324,ChIJefDIuxgTtZURnHlGKPQNkWQ
Asociación Alemana de Esperanza,,0,-31.4531959,-60.9312913,ChIJt85rVv4TtZURij6vJGIWlWw
Despensa San Martin,,0,-31.4550202,-60.9320661,ChIJs0DbZyITtZURHYvOpkyu9J4
Concejo Municipal de Esperanza,,0,-31.4504612,-60.9312977,ChIJDfb30xcTtZURUHibbsyHHss
Farmacia Bolzico,pharmacy,0,-31.4491875,-60.9316001,ChIJj0LieT0TtZURADA4OwWr3iY
Farmacia "SAD",pharmacy,0,-31.449178,-60.9315969,ChIJA94TotYTtZURxADGXIPiM7M
Fotógrafos En Esperanza,,0,-31.4484356,-60.9311976,ChIJV_BJhD0TtZUR5S3TFur-VaQ
Naranja Esperanza,,3,-31.4487611,-60.9312985,ChIJAZEBgz0TtZUR-5aa9eZTLkQ
Club Social y Deportivo,,46,-31.4481115,-60.9311935,ChIJ9bYYjz0TtZUR1MCHaWhGBU0
Richards Esperanza,clothing_store,8,-31.4476318,-60.9311419,ChIJGVV4iz0TtZURrXN82SbvUWo
Diarios Y Revistas En Esperanza,,0,-31.4475471,-60.9310115,ChIJbXK19D0TtZURFobI7mNqNgA
Estudio Juridico Albarracin Bellini Y Asosiados,,1,-31.4538343,-60.9307664,ChIJIXHRgSITtZURoWDWVYqXcZM
Modas Themis Esperanza,clothing_store,0,-31.4514604,-60.9299782,ChIJperkRY0TtZURSVpU3ZGf488
Neylan,,3,-31.4502227,-60.9306792,ChIJ720ZGcITtZURHJIje9ZD-WI
Agustina Calzados,shoe_store,1,-31.4499299,-60.9304654,ChIJDfb30xcTtZURgntNTzgWC0I
Menta disco,bar,12,-31.4476407,-60.9309373,ChIJrzZi2Z0TtZURaWK6HJ4Ok54
Mistral Esperanza,clothing_store,3,-31.447252,-60.9307851,ChIJy4vU9T0TtZURZSZ3QHrRX9g
Peluquerías En Esperanza,,0,-31.4473049,-60.930934,ChIJycZL9D0TtZUR0GkvHQvhD3g
Celulares En Esperanza,,0,-31.4469772,-60.9308249,ChIJqwC49z0TtZUR5qqX0dk57rA
Centro de Yoga Esperanza,school,0,-31.4464011,-60.9306473,ChIJrxsH04sTtZURc9AEC9ejL1U
Perfiles Esperanza,clothing_store,0,-31.4457449,-60.9305545,ChIJ3d8f3IsTtZURgipGIAffrIw
Araí Esperanza,,2,-31.4477813,-60.9299478,ChIJCfmGiGgTtZUR5lcfjN_-sbY
Daniel C Meyer,,0,-31.452586,-60.9302569,ChIJDfb30xcTtZUR2f3tFvaJ7Qo
Agroveterinaria Esperanza,,0,-31.4511593,-60.9299943,ChIJT4H29xcTtZURPuATLdyrCgk
Iglesia asamblea cristiana,church,2,-31.4478923,-60.9302006,ChIJ_2AmKaoTtZURxOwGv32CNCQ
Congregacion Evangelica,,2,-31.4479688,-60.9304388,ChIJW_VrJhYTtZURQkGIjY2aeAc
Pluspagos Santa Fe Servicios,,3,-31.447554,-60.9299452,ChIJsUlvhzcTtZURscL0Ufx-wJg
Heltner Mauricio Carlos,,0,-31.4482098,-60.9297848,ChIJ-89cMRYTtZUR43ET2dLf1MA
Prospera Mutual Esperanza,bank,1,-31.4470409,-60.9305146,ChIJnzs3HBYTtZURcETgc0ozkEo
LACA Esperanza,,0,-31.4461372,-60.9300029,ChIJB0vpLtMTtZUR_0mDHbXV5c4
Heladerias,,0,-31.4460791,-60.9304286,ChIJNxZ_ABYTtZURc1EmX08vmRs
Remolques En Esperanza,,0,-31.454424,-60.9298793,ChIJlVfajxgTtZURw0PNtUjqU1s
Grúas En Esperanza,,0,-31.454424,-60.9298793,ChIJlVfajxgTtZURKWfDAZ3uZCQ
Fsrmacia Zenher,pharmacy,0,-31.4526344,-60.9296209,ChIJdQVQbBgTtZUR2B4wuhWjPc8
Fiambreria af,grocery_or_supermarket,0,-31.4510768,-60.9289043,ChIJK_4yLs4TtZURrblafPpsB_o
Cajero Automático Banco de la Nación Argentina,atm,0,-31.448947,-60.9290899,ChIJQ0CrlAgTtZURhnbLrP7sGMg
Banco Santa Fé,bank,0,-31.4486242,-60.9290947,ChIJr1zS7OUTtZUR5BkajqPULec
Cajero Automático Banco Macro,atm,0,-31.4466163,-60.92954,ChIJPSRb8ecTtZURx590yVga0xE
API - Esperanza,local_government_office,0,-31.4460937,-60.9293799,ChIJKYeQCxYTtZURst5hc6ob3zM
Genoveva accesorios,,1,-31.4509422,-60.9290606,ChIJo7qE6VQTtZURNTONwe4uX_A
Armeria Gloria,,60,-31.449772,-60.928628,ChIJQ09ylxcTtZURdw2O6kE2RE0
Kevingston,clothing_store,0,-31.449523,-60.9284329,ChIJO5WdohcTtZURCGU4ox4UV9g
KRAFF Esperanza,,15,-31.4492248,-60.9287935,ChIJ4dyWuxcTtZURJFu5RIGwOGs
Sanatorio Esperanza,hospital,33,-31.4467947,-60.9287645,ChIJLRbcaBYTtZURF7n-G6MCsK4
Electricidad,,0,-31.447479,-60.9288539,ChIJNeEwRBYTtZURCpiiDx2us3I
Radiografías Panorámicas Consultorios Belgrano,,0,-31.4476314,-60.9288968,ChIJlXnZil8TtZURxeG4t_E3Zh4
Stamp Grafica,,0,-31.4460738,-60.9284155,ChIJcahQehYTtZUR2mIfMS8UL_A
Club Alma Juniors,,1,-31.4514752,-60.9275126,ChIJSRk0cRcTtZUR2v7H28pBTeU
CiberFon Esperanza,,7,-31.4478565,-60.9279217,ChIJL6xcCfcTtZUR63h2QpgyD3k
Marbella Viajes,,0,-31.4508124,-60.9268124,ChIJnzcx2RkTtZURXeG4dXXS7Y8
Esc.san Martin,school,1,-31.4495222,-60.9272052,ChIJkWkKcRcTtZUR139gQVJVdvY
Carniceria Dinos,,16,-31.4542905,-60.9262634,ChIJ3cFKBT0TtZUR2nRtAacnxRs
Lubricar,,0,-31.4527012,-60.925685,ChIJ57NInRkTtZURzoEkXMnvOLo
Lubricantes Elf,gas_station,0,-31.4525529,-60.9257609,ChIJo_1OkwUTtZURJiakbTmdc3g
Peluquería,hair_care,1,-31.4486637,-60.9259886,ChIJwXArAAgTtZURdvarTTmseJM
Seguros La Segunda,insurance_agency,0,-31.4508006,-60.9260466,ChIJtUJy5hkTtZURMsNn7HsY0HU
Iglesia Adventista del Séptimo Día - Esperanza,church,0,-31.4491695,-60.9249917,ChIJC45VrRATtZUR01CpcjdfY_8
Angel Chesa..carnes premium,,1,-31.4472285,-60.9251429,ChIJo5LWV-ETtZURcdoO1YVVef0
Electricidad y construciones,,1,-31.4543238,-60.9421351,ChIJVzNmGSgTtZUROjW2DjLR_MI
El Osito,,10,-31.4549703,-60.9400795,ChIJxyOXIiUTtZURxUHzqi_qqOs
Libreria Jarox,book_store,21,-31.4464921,-60.9410393,ChIJ3cFKBT0TtZURuTVFCjh3HBc
AXION Esperanza,gas_station,10,-31.4404964,-60.938031,ChIJkXjfO3ITtZUROfE5cSOBKek
Veterinaria Doble M,veterinary_care,1,-31.4484657,-60.9364024,ChIJQ6KjCTwTtZURzS7Bm1O4nLM
Mundo Numa,clothing_store,78,-31.4467693,-60.936566,ChIJgeOEKAATtZURzMzD5tWinZk
Gasparini Electromecánica,car_repair,6,-31.44951,-60.9360012,ChIJv2mKejwTtZURVrdzwNX85rA
GERIATRICO "VILLA PERLA",,0,-31.4467742,-60.9359526,ChIJdaxJvVkTtZURzdcwdbdrciI
E.E.T. Nº 455 GRAL. DON JOSÉ DE SAN MARTÍN,,1,-31.4440886,-60.9357195,ChIJdzLBOj8TtZURSnwU5NJKkbg
Osminar Motos,,1,-31.4410499,-60.935836,ChIJlYUDoSETtZUR39wN_FiY9zE
Mosaicos Blangino,,0,-31.44199,-60.9341312,ChIJT_ZOfD8TtZURku0SpqFJ2gU
Bocco Automotores,,2,-31.4417803,-60.933616,ChIJBy1NAz0TtZUR7RZSmuaC-Qo
Correo Argentino Unidad Postal,,9,-31.4561667,-60.9325913,ChIJDfb30xcTtZURYo_UYYzLC_o
Vidrieria Billoud,,0,-31.4547785,-60.9330862,ChIJ09BDViITtZURHIukwdRZGzM
Club Union de Bochas Esperanza,,5,-31.4556618,-60.9323887,ChIJBy1NAz0TtZURI_g1I_-oCYQ
Campos de Violeta Articulos de Limpieza,home_goods_store,3,-31.4428164,-60.9334263,ChIJHXPs2zMTtZURMPLhfSWscVE
Campos De Violeta Artículos De Limpieza,home_goods_store,1,-31.442816,-60.9334269,ChIJ6-_mwWcTtZUR80s1wGRJG8g
