Name,type,ratings,latitude,longitude,place_id
Casa Benes,,13,-31.4501839,-60.928936,ChIJtbslkhcTtZURtW89tP5qdUo
Mutual Sm Salud de Soc Medica del Departamento Las Colonias,,8,-31.4474741,-60.9287378,ChIJBQOdAz0TtZURQUfLmdCTz20
CLOUD "Innovación",,17,-31.4472933,-60.9289259,ChIJGb4-RBYTtZURSLkNm5-qc2A
Iglesia Cristiana Evangélica (Güemes 1119),,6,-31.4541863,-60.927778,ChIJ76TrHRkTtZUR42xQZA19wUU
Platero Distribuidor de Golosinas,,14,-31.4530587,-60.9279955,ChIJE-UbpTQTtZURU10rDpSmDTU
Club Atlético Alma Juniors,,156,-31.4514373,-60.9278574,ChIJl619NBgTtZUR2bNFL4sPUDc
Play Televisión,,36,-31.4504425,-60.9281489,ChIJaf5GhBcTtZURzR2CvZThAZQ
Link Tv Producciones Televisivas,,21,-31.4508011,-60.9276792,ChIJY_Ew1RkTtZUR4XYVRuf_Dkk
Club Social Aaron Castellanos,,216,-31.449623,-60.9282235,ChIJtcZgmBcTtZURq2orPxldeCE
Estudio Lombo & Denner,,6,-31.4490278,-60.9281759,ChIJb0FlpBcTtZURXS43JZewCEc
Hola Grafica,,6,-31.4483679,-60.9282784,ChIJm88irBcTtZURtnp9m2NQSiY
Ing. Agrimensor - Germán Bock,,5,-31.4486948,-60.9272385,ChIJwR62DxcTtZURLCE5ityPThw
EPE Energía de Santa Fe,,44,-31.4459352,-60.9273405,ChIJCzqRhRYTtZURhShXQyOM3ps
Pelos Al Viento,,48,-31.4540771,-60.9263205,ChIJ68GoiBwTtZURQ9LLyHzz6xI
Centro Médico De La Ciudad,,5,-31.4524289,-60.9264204,ChIJ3cFKBT0TtZUR1MN-LeGogkQ
Centro Jubilados Y Pensionados de Esperanza,,16,-31.4525639,-60.9261979,ChIJPy3VmBkTtZURaL3yjLzDITA
Ministerio de trabajo y Seguridad Social,,5,-31.4515497,-60.9263451,ChIJ4y9-cIYTtZURT8-8_hTXCI4
Remises Avenida los Colonizadores Sh,,6,-31.4498501,-60.9269316,ChIJBy1NAz0TtZUR3vy7KNDnafE
Los FERNÁNDEZ 20,,16,-31.4461884,-60.9263571,ChIJrSBCyBYTtZURttK2RW52jgE
Oasis Pileta Cubierta Climatizada,,26,-31.4528685,-60.9255376,ChIJ3cFKBT0TtZURrObLPLcwQmE
ORL Estudio de Arquitectura,,6,-31.4472019,-60.9259182,ChIJKRaL2xYTtZURvAuFI9aRCjc
Club Atlético Almagro,,238,-31.4465251,-60.9260652,ChIJ9Q8lwRYTtZURWHJpg3A3WxI
Punta Pié,,9,-31.4498924,-60.925605,ChIJMYfmVxcTtZURaJ1lBwgPZqk
INK Studio,,33,-31.4475037,-60.9249918,ChIJv7lD1RATtZURcFubv-7HHM8
Angel Amilcar Chesa Carnes Premium,,5,-31.4472206,-60.9252624,ChIJ7ZIm1BYTtZURiy_INOokZI8
CERVEZA ARTESANAL AMADEUSS,,6,-31.4472368,-60.9253633,ChIJCS1x0_MTtZURA0aTcr_jOlM
M.I.T.E.,,10,-31.45405,-60.9405703,ChIJWd92NCUTtZURUzFOZVKCyiI
Colmenas Ju VI Lu,,16,-31.4491376,-60.941456,ChIJaQK9GToTtZURWjDGZrxb-2Y
Futbol 5 FC,,6,-31.4530009,-60.9400346,ChIJ_VkqFLgTtZURTYkgaGHz-sk
Yo,,17,-31.4531732,-60.9394135,ChIJt9K8HS8TtZURncnlt0BZ0NI
Club Atlético Unión de Esperanza,,570,-31.4521619,-60.9401385,ChIJBVIX5joTtZURNBeK8k4QrBM
El Faro Alquiler de Enseres Para Fiestas,,5,-31.4505947,-60.9390818,ChIJsTraTDsTtZUR-w-TcnI-fk0
Android Central,,13,-31.4464739,-60.9404689,ChIJgbvfsDkTtZURaRKGU_XacXE
Punto laser,,7,-31.4465786,-60.9405022,ChIJgx66sDkTtZURNilWSnB2aFA
Suyay,,21,-31.4515745,-60.9379641,ChIJ8xok9qITtZURQRcW4uxXLLE
Heladeria yampi,,7,-31.4491565,-60.938143,ChIJjYcGwTsTtZUREUeGJPJun_o
Mon. II.Dpto 23;Esperanza;Santa Fe,,7,-31.4489955,-60.9378697,ChIJY5b7wTsTtZURMoMtMNlrXkQ
Pluspagos Santa Fe Servicios,,22,-31.4469878,-60.9380997,ChIJ81FnaxATtZUR5gqRNy7qprw
Club Caza y Pesca "Ciudad de Esperanza",,13,-31.4499693,-60.9366028,ChIJ8yG7gDsTtZURoFagg2loZzk
Humoller Hnos Gas,,5,-31.4465228,-60.9370501,ChIJBQOdAz0TtZURQ_ZBDTRX8O8
Hogar de Ancianos Dr Aldo M Bustos,,5,-31.4434173,-60.9364352,ChIJ74hpSz8TtZURYopCvSCNiF0
Amsafe Delegación Las Colonias,,7,-31.4555767,-60.9355367,ChIJcxhgmSMTtZUReLwjP8PEsKU
Sociedad Colombofila Mensajeras De Esperanza,,12,-31.4559311,-60.9353857,ChIJ7fE8lyMTtZURAI3mMDc1Xwc
D&M Servicios Electromecanicos S.R.L,,12,-31.454314,-60.9359831,ChIJCVN5ZiMTtZUR8Zuq34fM-Go
D L Garbe Computacion,,47,-31.4477942,-60.9350866,ChIJDfb30xcTtZURfOXLd4pC2fQ
VIÓPTICA,,22,-31.4480241,-60.9352427,ChIJcdPkJHkTtZURMcvB0QQ4Og4
Arcos. Consultorios Integrados,,30,-31.4478017,-60.935341,ChIJr6MJGTwTtZURKLYSJTXbzIQ
Aane Asociacion de Ayuda A Ni�os Especiales,,7,-31.4468871,-60.9355309,ChIJ-4NhpD4TtZURzRRG2yM5ea8
Gelchi,,429,-31.446104,-60.9351694,ChIJ19vIvz4TtZURg5ukyfBMpK0
Mutual Club Atletico Sarmiento,,9,-31.4450254,-60.9353819,ChIJP9Wj3j4TtZURzFC50U58EAQ
LA ESTANCIA,,24,-31.4415027,-60.9348217,ChIJhSsHYvETtZURMYCVN41Gibs
Pocera Oeste - Servicio Atmosferico,,5,-31.4551643,-60.9343696,ChIJN3-gqCMTtZUR5C0EnoayVO4
Credifin Express,,40,-31.4561705,-60.9337416,ChIJpeo6NSITtZURdXtaN1ZWHhI
Autoservicio Esperanza,,141,-31.4550668,-60.9342232,ChIJV8J6qCMTtZURnLIOgyYR-ew
Lawn Tennis Club Esperancino,,245,-31.4449432,-60.9345241,ChIJNwm44D4TtZUR7qJ1ZkAoKj4
SOMA Consultorios Integrados,,10,-31.443398,-60.9336032,ChIJYyHyTvgTtZUR4Bmk_9CEn_I
Vidrieria Oeste,,8,-31.4547624,-60.9330815,ChIJ02hqViITtZURXR5yQ-gbSgM
Compuarticulos,,8,-31.4540109,-60.9329765,ChIJNemW-iITtZUR3fDeGqNN9Zg
BIG FUN,,114,-31.4554695,-60.9314265,ChIJedWtciITtZURm9XZ8sTFf48
Heladería "Nuestros Sabores",,306,-31.4565802,-60.9321327,ChIJW_7QGCITtZURPBRIdoz2rJE
La Fabrikita Salones De Fiestas,,70,-31.4446906,-60.9313469,ChIJ1dSdJD4TtZURWZQtXWCgXQE
