Name,type,ratings,latitude,longitude,place_id
CPN Carlos Alberto Correa & Asociados,accounting,0,-31.449199,-60.9332856,ChIJ8crYqz0TtZURTScK9q0WQII
Ideas de temporada,clothing_store,22,-31.4492941,-60.9332777,ChIJh5BfqT0TtZURdWzDTjhnNuI
VALKIRIA,clothing_store,2,-31.4483058,-60.9334732,ChIJt9UGtT0TtZURcli32hcTZrM
Club Bocha Esperancino,bar,20,-31.4484008,-60.9333693,ChIJCy0lAzwTtZURrJuvtny1dh8
Ortopedia Kinen Sucursal Esperanza,shoe_store,3,-31.4484361,-60.9332977,ChIJ2yABtD0TtZURiOoSwpHvaj8
Gimnasio Sol Gym,gym,24,-31.4487169,-60.9333612,ChIJixymWF4TtZURMjUFemBtokc
EstoyCerca.com.ar,grocery_or_supermarket,2,-31.4472465,-60.9337799,ChIJ3RQTRooTtZURgS6UQQ-gzQ0
Dionisiaindumentaria,clothing_store,0,-31.4457232,-60.9333813,ChIJvQuEaIETtZUR_mvqgEQizJw
La Mansión,night_club,0,-31.451162,-60.9327335,ChIJEf9fOj0TtZUROpOZysA9c_A
Zapateria Saliern,shoe_store,0,-31.451082,-60.9325221,ChIJ2-WOOT0TtZUR2Iedev_oawY
Ferreteria Dany,hardware_store,31,-31.450247,-60.9329283,ChIJDfb30xcTtZUR0WnkGOhMn6A
Agustina Calzados,shoe_store,4,-31.4502241,-60.9331758,ChIJ6WGq4GoTtZURkSmyav0hA-4
Valkirias: Casa de comidas,meal_delivery,3,-31.4503271,-60.9329011,ChIJYxrJQGITtZURjtXLUIx6OOc
trama bb,clothing_store,2,-31.4493188,-60.9327695,ChIJ0yUvCD0TtZUR6REeI4oqdFg
Modas Axel,clothing_store,5,-31.4498155,-60.9328253,ChIJQRL6hvoTtZURpvtnTpvOw3U
SUMIAGRO ESPERANZA -STIHL-HONDA-JOHN DEERE,home_goods_store,5,-31.4488664,-60.9325318,ChIJAazwoz0TtZUR6QEAFSRyCUo
Los Iriondo casa-bar,bar,1203,-31.4482002,-60.9327244,ChIJ5ySsuz0TtZURORQsjK1Qlww
Instituto Pilates Park Esperanza,gym,0,-31.4484385,-60.9327138,ChIJ66uvuz0TtZURoxqG5I0j3PQ
Martin House,liquor_store,163,-31.4481793,-60.9330924,ChIJzSKztz0TtZUROep-MpZ5nJM
Ferreteria Avenida Todo Para el Campo Industria y Hogar,hardware_store,0,-31.4483148,-60.9328682,ChIJ3cFKBT0TtZUR272F5np6mdY
Teodolina Calzados,shoe_store,6,-31.4483079,-60.9328274,ChIJFVDzuT0TtZURGwUWQnSC4do
